coin_id,symbol,name,market_cap_rank,total_volume,latest_date,latest_close,ret20,state,p_bear_next,p_sideways_next,p_bull_next,edge_bull_minus_bear,paper_position,walk_forward_cumulative_return,walk_forward_active_days,walk_forward_hit_rate_active
dexe,DEXE,DeXe,76,25523031,2026-06-10,18.25281449466507,0.31750319074085964,bull,0.02247191011235955,0.011235955056179775,0.9662921348314607,0.9438202247191012,0.9438202247191012,0.7899841332337205,70,0.5285714285714286
lab,LAB,LAB,39,26743284,2026-06-10,7.860103611659832,0.7887676910344918,bull,0.010416666666666666,0.041666666666666664,0.9479166666666666,0.9375,0.9375,26.595489109876315,72,0.5694444444444444
injective-protocol,INJ,Injective,98,114213775,2026-06-10,5.244213599841678,0.09124845988649821,bull,0.01694915254237288,0.03389830508474576,0.9491525423728814,0.9322033898305085,0.9322033898305085,0.3449724895642321,70,0.4857142857142857
story-2,IP,Story,268,39475304,2026-06-10,0.28582161102956827,-0.4178682602271133,bear,0.927536231884058,0.057971014492753624,0.014492753623188406,-0.9130434782608696,-0.9130434782608696,0.38859323126609313,63,0.6031746031746031
katana-network-token,KAT,Katana,945,82224128,2026-06-10,0.006243869421870638,-0.269789652852395,bear,0.9347826086956522,0.043478260869565216,0.021739130434782608,-0.9130434782608696,-0.9130434782608696,0.1997476054788756,39,0.5384615384615384
bianrensheng,币安人生,币安人生 (BinanceLife),83,16869840,2026-06-10,0.6981408007552319,0.5881211286358508,bull,0.016129032258064516,0.06451612903225806,0.9193548387096774,0.9032258064516129,0.9032258064516129,0.9912743264044324,73,0.4657534246575342
chip-2,CHIP,USD.AI,354,39446709,2026-06-10,0.033971825511359084,-0.32063103858564423,bear,0.9354838709677419,0.03225806451612903,0.03225806451612903,-0.9032258064516129,-0.9032258064516129,,,
near,NEAR,NEAR Protocol,35,540070286,2026-06-10,2.098161460943601,0.23837384649701976,bull,0.028169014084507043,0.04225352112676056,0.9295774647887324,0.9014084507042254,0.9014084507042254,0.017308144116079838,62,0.4032258064516129
official-trump,TRUMP,Official Trump,117,78646866,2026-06-10,1.6633125717037713,-0.18035367635364874,bear,0.9295774647887324,0.04225352112676056,0.028169014084507043,-0.9014084507042254,-0.9014084507042254,0.33355450158631106,74,0.5945945945945946
humanity,H,Humanity,133,74746390,2026-06-10,0.16388367620282324,-0.3655080322165738,bear,0.9302325581395349,0.023255813953488372,0.046511627906976744,-0.8837209302325582,-0.8837209302325582,-0.574095864929441,68,0.5294117647058824
arbitrum,ARB,Arbitrum,103,52997417,2026-06-10,0.07995357435485062,-0.2744095299994984,bear,0.9019607843137255,0.0784313725490196,0.0196078431372549,-0.8823529411764706,-0.8823529411764706,0.23220920713369897,69,0.5217391304347826
